TrainNo,TrainName,SourceStation,DestinationStation,Sunday,Monday,tuesday,Wednesday,thursday,Friday,Saturday
12037,NDLS-LDH SHAtABDI EXP,NDLS,LDH,y,,y,y,y,y,
12038,LDH-NDLS SHAtABDI EXP,LDH,NDLS,y,,y,y,y,y,
12039,KGM-NDLS SHAtABDI EXP,KGM,NDLS,y,y,y,y,,y,y
12040,NDLS-KGM SHAtABDI EXPRESS,NDLS,KGM,y,y,y,y,,y,y
12041,HWH - NJP SHAtABDI EXP,HWH,NJP,,y,y,y,y,y,y
12042,NJP - HWH SHAtABDI EXP,NJP,HWH,,y,y,y,y,y,y
12043,NDLS-MOGA SHAtABDI EXP,NDLS,MOGA,,y,,,,,y
12044,MOGA-NDLS SHAtABDI EXP,MOGA,NDLS,,y,,,,,y
12045,NDLS-CDG SHAtABDI EXPRESS,NDLS,CDG,,y,y,y,y,y,y
12046,CDG-NDLS SHAtABDI EXPRESS,CDG,NDLS,,y,y,y,y,y,y
12047,BHAtINDA SHAtABDI EXPRESS,NDLS,BtI,,y,,,,,y
12048,NEW DELHI SHAtABDI,BtI,NDLS,,y,,,,,y
12049,GAtIMAN EXPRESS,AGC,NZM,y,y,y,y,y,,y
12050,GAtIMAN EXPRESS,NZM,AGC,y,y,y,y,y,,y
12051,JAN SHAtABDI EXPRESS,DR,MAO,y,y,y,y,y,y,y
12052,MAO-DR JAN SHB EXP,MAO,DR,y,y,y,y,y,y,y
12053,HW-ASR EXP,HW,ASR,y,y,y,y,,y,y
12054,ASR-HW JAN SHAtABDI EXP,ASR,HW,y,y,y,y,,y,y
12055,DDN JANSHAtABDI,NDLS,DDN,y,y,y,y,y,y,y
12056,NEWDELHI JAN SHAtABDI EXP,DDN,NDLS,y,y,y,y,y,y,y
12057,NDLS-NLDM- JANSHAtABDI,NDLS,UHL,y,y,y,y,y,y,y
12058,NDLS JANSHtB EXPRESS,UHL,NDLS,y,y,y,y,y,y,y
12059,NZM JAN SHAtABDI,KOtA,NZM,y,y,y,y,y,y,y
12060,KOtA JANSHtBDI,NZM,KOtA,y,y,y,y,y,y,y
12061,JBP JANSHAtABDI,HBJ,JBP,y,y,y,y,y,y,y
12062,HBJ JANSHAtABDI,JBP,HBJ,y,y,y,y,y,y,y
12065,NZM JAN SHAtABDI,AII,NZM,y,,,,,y,
12066,AII JAN SHAtABDI,NZM,AII,y,,,,,y,
12067,JANSAtABDI EXPRESS,GHt,JttN,,y,y,y,y,y,y
12068,JANSAtBDI EXPRESS,JttN,GHt,,y,y,y,y,y,y
12069,RIG G JANSHAtABDI,RIG,G,,y,y,y,y,y,y
12070,G RIG JANSHAtABDI,G,RIG,y,y,y,y,y,y,
12071,JANSHAtABDI EXPRESS,DR,J,y,y,y,y,y,y,y
12072,JANSHAtABDI EXPRESS,J,DR,y,y,y,y,y,y,y
12073,HWH-BBS JAN SHAtABDI,HWH,BBS,,y,y,y,y,y,y
12074,BBS-HWH JAN SHAtABDI,BBS,HWH,,y,y,y,y,y,y
12075,CLt - t VC JAN SHAtABDI,CLt,tVC,y,y,y,y,y,y,y
12076,tVC - CLt JAN SHAtABDI,tVC,CLt,y,y,y,y,y,y,y
12077,MAS-BZA JAN SHAtABDI EXP,MAS,BZA,y,y,,y,y,y,y
12078,BZA-MAS-JAN SHAtABDI EXP,BZA,MAS,y,y,,y,y,y,y
12079,JANSHAtABDI EXP,SBC,UBL,y,y,y,y,y,y,y
12080,JAN SHAtABDI EXP,UBL,SBC,y,y,y,y,y,y,y
12081,CAN - tVC JAN SHAtABDI,CAN,tVC,,y,y,,y,y,y
12082,tVC - CAN JAN SHAtABDI,tVC,CAN,y,y,,y,y,y,
12083,MV-CBE JANSHAtABDI EXP,MV,CBE,y,y,,y,y,y,y
12084,CBE-MV JAN SHAtABDI EX,CBE,MV,y,y,,y,y,y,y
12101,JNANESWARI DELX,LTT,HWH,,y,y,,,y,y
12102,JNANESWARISUPDLX,HWH,LTT,y,y,,y,y,,
12103,PUNE-LKO EXPRESS,PUNE,LJN,,,,,,y,
12104,LJN-PUNE EXPRESS,LJN,PUNE,y,,,,,,
12105,VIDARBHA EXP,CSTM,G,y,y,y,y,y,y,y
12106,VIDARBHA EXP,G,CSTM,y,y,y,y,y,y,y
12107,LTT-LJN EXPRESS,LTT,LJN,,y,,y,,,y
12108,LJN-LTT EXPRESS,LJN,LTT,y,,y,,y,,
12109,PANCHAVAtI EXP.,CSTM,MMR,y,y,y,y,y,y,y
12110,PANCHAVtI EXP,MMR,CSTM,y,y,y,y,y,y,y
12111,CSTM-AMI SF EXPRESS,CSTM,AMI,y,y,y,y,y,y,y
12112,AMI-CSTM SF EXPRESS,AMI,CSTM,y,y,y,y,y,y,y
12113,PUNE-NGP GARIB RAtH,PUNE,NGP,,y,,y,,,y
12114,NGP-PUNE GARIB RAtH,NGP,PUNE,y,,y,,,y,
12115,CSTM-SUR SIDDHESWAR EXP.,CSTM,SUR,y,y,y,y,y,y,y
12116,SUR-CSTM SIDDHESWAR EXP,SUR,CSTM,y,y,y,y,y,y,y
12117,LTT MANMAD EXP,LTT,MMR,y,y,y,y,y,y,y
12118,MANMAD LTT EXP,MMR,LTT,y,y,y,y,y,y,y
12119,AMRAVAtI-NGP EXPRESS,AMI,AJNI,,y,y,y,y,y,
12120,NGP-AMI EXPRESS,AJNI,AMI,y,y,y,y,y,,
12121,M P SMPRK KRNtI,JBP,NZM,y,,,y,,y,
12122,M P S KRANtI EXP,NZM,JBP,,y,,,y,,y
12123,DECCAN QUEEN EXPRESS,CSTM,PUNE,y,y,y,y,y,y,y
12124,DECCAN QUEEN EXPRESS,PUNE,CSTM,y,y,y,y,y,y,y
12125,PRAGAtI EXPRESS,CSTM,PUNE,y,y,y,y,y,y,y
12126,PRAGAtI EXPRESS,PUNE,CSTM,y,y,y,y,y,y,y
12127,INtERCItt EXP,CSTM,PUNE,y,y,y,y,y,y,y
12128,INtERCItt EXP,PUNE,CSTM,y,y,y,y,y,y,y
12129,AZAD HIND EXP,PUNE,HWH,y,y,y,y,y,y,y
12130,HOWRAH PUNE AZAD HIND EXP,HWH,PUNE,y,y,y,y,y,y,y
12131,DR SAINAGAR EXP,DR,SNSI,,y,,y,,,y
12132,SAINAGAR DR EXP,SNSI,DR,y,,y,,y,,
12133,CSTM-MAJN EXPRESS,CSTM,MAJN,y,y,y,y,y,y,y
12134,MAJN-CSTM EXPRESS,MAJN,CSTM,y,y,y,y,y,y,y
